"Qty","ReicheltID","Reference","Value","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"2","VARTA 4R25XMVARTA Laternenbatterie 6V, 8,5Ah","BT1,BT2","Laternenbatterie 6V","","","","~"
"12","IR 7373C EVL","D1,D2,D3,D4,D5,D6,D8,D9,D10,D12,D13,D14","Everlight IR7373C","","","","https://cdn-reichelt.de/documents/datenblatt/A501/IR7373C_ENG_TDS.pdf"
"1","3004R1C-DHE-A","D7","LED rot","","","",""
"1","SB 530","D11","SB 530","","","","~"
"1","RPIZ CAM 5MP IR","H1","RPIZ CAM 5MP IR","","","","~"
"1","H05VK 1,0-10RT","H2","Litze dick rot","","","","~"
"1"," VT RLO 4470-100","H3","Lötösen für M3","","","","~"
"1","H05VK 1,0-10SW","H4","Litze dick schwarz","","","","~"
"1","ECON KL014RT10","H5","Litze dünn rot","","","","~"
"1","ECON KL014SW10","H6","Litze dünn schwarz","","","","~"
"2","","J3,J6","Conn_01x02_Socket","Excluded from BOM","","","~"
"1","RASP PI ZERO2 W","J4","rpi zero 2w","","","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","https://www.raspberrypi.org/documentation/hardware/raspberrypi/schematics/rpi_SCH_3bplus_1p0_reduced.pdf"
"2","AC 230/ 2 DS","J5,J7","Schraubklemme","","","","~"
"1","","L1","HS-0530B","Excluded from BOM","","","~"
"2","BC 337-25BK DIO","Q1,Q2","BC337","","","Package_TO_SOT_THT:TO-92_Inline","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bc337.pdf"
"2"," 1/4W 1,0K","R1,R4","1k","","","","~"
"4","1/4W 47","R2,R3,R7,R8","47","","","","~"
"2","1/4W 470","R5,R6","470","","","","~"
"1","IRF 5305","Q3","IRF5305","","","","https://cdn-reichelt.de/documents/datenblatt/A100/IRF5305_IR.pdf"
